hour, minute, second, azimuth angle (relative to west=0)/degree, elevation angle/degree, power/mW
12,13,21,36,15,331
12,13,24,36,30,341
12,13,27,36,45,340
12,13,30,36,60,330
12,13,33,36,75,299
12,13,36,36,90,246
12,13,39,54,0,351
12,13,44,54,15,357
12,13,47,54,30,361
12,13,50,54,45,358
12,13,53,54,60,348
12,13,56,54,75,328
12,13,59,54,90,270
12,14,2,72,0,367
12,14,7,72,15,369
12,14,10,72,30,370
12,14,13,72,45,363
12,14,16,72,60,355
12,14,19,72,75,332
12,14,22,72,90,268
12,14,25,90,0,365
12,14,30,90,15,368
12,14,33,90,30,365
12,14,36,90,45,360
12,14,39,90,60,350
12,14,42,90,75,319
12,14,45,90,90,251
12,14,48,108,0,352
12,14,53,108,15,358
12,14,56,108,30,359
12,14,59,108,45,356
12,15,2,108,60,346
12,15,5,108,75,322
12,15,8,108,90,264
12,15,11,126,0,342
12,15,16,126,15,349
12,15,19,126,30,353
12,15,22,126,45,346
12,15,25,126,60,338
12,15,28,126,75,306
12,15,31,126,90,253
12,15,34,144,0,279
12,15,39,144,15,302
12,15,42,144,30,315
12,15,45,144,45,319
12,15,48,144,60,307
12,15,51,144,75,282
12,15,54,144,90,245
12,15,56,162,0,177
12,16,1,162,15,195
12,16,4,162,30,224
12,16,7,162,45,244
12,16,10,162,60,256
12,16,13,162,75,254
12,16,16,162,90,244
12,16,19,180,0,154
12,16,24,180,15,135
12,16,27,180,30,130
12,16,30,180,45,157
12,16,33,180,60,186
12,16,36,180,75,210
12,16,39,180,90,227
12,21,54,0,0,187
12,21,58,0,15,217
12,22,1,0,30,246
12,22,4,0,45,265
12,22,7,0,60,272
12,22,10,0,75,272
12,22,13,0,90,263
12,22,16,18,0,309
12,22,21,18,15,326
12,22,24,18,30,335
12,22,27,18,45,338
12,22,30,18,60,332
12,22,33,18,75,315
12,22,36,18,90,279
12,22,39,36,0,353
12,22,44,36,15,359
12,22,47,36,30,361
12,22,50,36,45,358
12,22,53,36,60,352
12,22,56,36,75,335
12,22,59,36,90,291
12,23,2,54,0,368
12,23,7,54,15,368
12,23,10,54,30,372
12,23,13,54,45,366
12,23,16,54,60,359
12,23,19,54,75,341
12,23,22,54,90,293
12,23,25,72,0,374
12,23,30,72,15,376
12,23,33,72,30,374
12,23,36,72,45,369
12,23,39,72,60,364
12,23,42,72,75,343
12,23,45,72,90,291
12,23,48,90,0,371
12,23,53,90,15,377
12,23,56,90,30,377
12,23,59,90,45,370
12,24,2,90,60,361
12,24,5,90,75,343
12,24,8,90,90,288
12,24,11,108,0,369
12,24,16,108,15,372
12,24,19,108,30,374
12,24,22,108,45,370
12,24,25,108,60,360
12,24,28,108,75,339
12,24,31,108,90,281
12,24,34,126,0,354
12,24,39,126,15,357
12,24,42,126,30,359
12,24,45,126,45,357
12,24,48,126,60,350
12,24,51,126,75,327
12,24,54,126,90,271
12,24,57,144,0,315
12,25,2,144,15,329
12,25,5,144,30,340
12,25,8,144,45,337
12,25,11,144,60,330
12,25,14,144,75,302
12,25,17,144,90,261
12,25,20,162,0,205
12,25,25,162,15,229
12,25,28,162,30,254
12,25,31,162,45,268
12,25,34,162,60,273
12,25,37,162,75,264
12,25,40,162,90,247
12,25,43,180,0,157
12,25,48,180,15,140
12,25,51,180,30,147
12,25,54,180,45,175
12,25,57,180,60,202
12,26,0,180,75,221
12,26,3,180,90,231
12,31,17,0,0,171
12,31,21,0,15,198
12,31,24,0,30,229
12,31,27,0,45,250
12,31,30,0,60,260
12,31,33,0,75,265
12,31,36,0,90,261
12,31,39,18,0,294
12,31,44,18,15,317
12,31,47,18,30,329
12,31,50,18,45,333
12,31,53,18,60,328
12,31,56,18,75,313
12,31,59,18,90,278
12,32,2,36,0,352
12,32,7,36,15,357
12,32,10,36,30,363
12,32,13,36,45,359
12,32,16,36,60,349
12,32,19,36,75,332
12,32,22,36,90,287
12,32,25,54,0,366
12,32,30,54,15,370
12,32,33,54,30,370
12,32,36,54,45,366
12,32,39,54,60,360
12,32,42,54,75,341
12,32,45,54,90,291
12,32,48,72,0,371
12,32,53,72,15,372
12,32,56,72,30,374
12,32,59,72,45,371
12,33,2,72,60,363
12,33,5,72,75,344
12,33,8,72,90,292
12,33,11,90,0,371
12,33,16,90,15,376
12,33,19,90,30,373
12,33,22,90,45,369
12,33,25,90,60,364
12,33,28,90,75,344
12,33,31,90,90,288
12,33,34,108,0,367
12,33,39,108,15,374
12,33,42,108,30,374
12,33,45,108,45,367
12,33,48,108,60,362
12,33,51,108,75,342
12,33,54,108,90,282
12,33,57,126,0,354
12,34,2,126,15,360
12,34,5,126,30,364
12,34,8,126,45,358
12,34,11,126,60,350
12,34,14,126,75,329
12,34,17,126,90,272
12,34,20,144,0,322
12,34,25,144,15,334
12,34,28,144,30,342
12,34,31,144,45,339
12,34,34,144,60,333
12,34,37,144,75,311
12,34,40,144,90,263
12,34,43,162,0,217
12,34,48,162,15,242
12,34,51,162,30,268
12,34,54,162,45,281
12,34,57,162,60,282
12,35,0,162,75,270
12,35,3,162,90,249
12,35,6,180,0,153
12,35,11,180,15,141
12,35,14,180,30,159
12,35,17,180,45,188
12,35,20,180,60,210
12,35,23,180,75,225
12,35,26,180,90,232
12,40,40,0,0,153
12,40,44,0,15,175
12,40,47,0,30,204
12,40,50,0,45,229
12,40,53,0,60,244
12,40,56,0,75,251
12,40,59,0,90,249
12,41,2,18,0,270
12,41,7,18,15,295
12,41,10,18,30,312
12,41,13,18,45,318
12,41,16,18,60,316
12,41,19,18,75,297
12,41,22,18,90,265
12,41,25,36,0,343
12,41,30,36,15,349
12,41,33,36,30,358
12,41,36,36,45,351
12,41,39,36,60,344
12,41,42,36,75,324
12,41,45,36,90,277
12,41,48,54,0,358
12,41,53,54,15,362
12,41,56,54,30,363
12,41,59,54,45,361
12,42,2,54,60,351
12,42,5,54,75,332
12,42,8,54,90,277
12,42,11,72,0,366
12,42,16,72,15,372
12,42,19,72,30,371
12,42,22,72,45,364
12,42,25,72,60,359
12,42,28,72,75,335
12,42,31,72,90,275
12,42,34,90,0,368
12,42,39,90,15,371
12,42,42,90,30,373
12,42,45,90,45,367
12,42,48,90,60,356
12,42,51,90,75,335
12,42,54,90,90,275
12,42,57,108,0,362
12,43,2,108,15,366
12,43,5,108,30,368
12,43,8,108,45,360
12,43,11,108,60,352
12,43,14,108,75,327
12,43,17,108,90,267
12,43,20,126,0,347
12,43,25,126,15,351
12,43,28,126,30,355
12,43,31,126,45,349
12,43,34,126,60,340
12,43,37,126,75,316
12,43,40,126,90,257
12,43,43,144,0,316
12,43,48,144,15,326
12,43,51,144,30,332
12,43,54,144,45,331
12,43,57,144,60,320
12,44,0,144,75,294
12,44,3,144,90,247
12,44,6,162,0,222
12,44,11,162,15,245
12,44,14,162,30,268
12,44,17,162,45,276
12,44,20,162,60,275
12,44,23,162,75,259
12,44,26,162,90,234
12,44,29,180,0,141
12,44,34,180,15,137
12,44,37,180,30,159
12,44,40,180,45,185
12,44,43,180,60,205
12,44,46,180,75,217
12,44,49,180,90,221
12,50,3,0,0,142
12,50,7,0,15,159
12,50,10,0,30,187
12,50,13,0,45,214
12,50,16,0,60,234
12,50,19,0,75,246
12,50,22,0,90,247
12,50,25,18,0,257
12,50,30,18,15,282
12,50,33,18,30,302
12,50,36,18,45,310
12,50,39,18,60,306
12,50,42,18,75,288
12,50,45,18,90,258
12,50,48,36,0,337
12,50,53,36,15,345
12,50,56,36,30,354
12,50,59,36,45,348
12,51,2,36,60,341
12,51,5,36,75,318
